,Unnamed: 0,Message,Narrative,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,approach mother day want celebr mom life updat profil pictur show support everymom updat pictur susan g komen mother day frame easi,0,,,,
1,,heart go olivia newton john announc fight breast cancer second time time cancer metastas sacrum fight alongsid olivia,1,,,,
2,,everymom http sgk mn furqu http ww komen org everymom utm sourc social utm medium facebook utm campaign foreverymom,0,,,,
3,,year old michell diagnos metastat breast cancer lung brain michell faith children help keep head everi day hardest day help motiv you,1,,,,
4,,dimpl mammogram traumat biopsi lot lost sleep later breast cancer honey go life chang journey came appoint rememb memori day blurri like rain wash windshield surgeon oncologist sick ach explain pain consum idea come somewher came covid lock tighter safeti home part comfort anoth part scream free homeschool chemo homeschool chemo taddi darsey taddi journey big c women like taddi need help ever start fundrais komen today http bit ly tmum b https www facebook com susangkomen fundrais creat sourc nonprofit short url sourc data breferr sourc d,1,,,,
5,,start chemotherapi februari day radiat reconstruct begin month year hope would ordeal combin covid pandem surreal great support famili friend darlen langley breast cancer survivor http sgk mn zstqh https www komen org share stori darlen langley love posit attitud show darlen love comment,1,,,,
6,,shout survivor survivorship mean survivorstrong,0,,,,
7,,name nikia diagnos breast cancer year old time breast cancer treatment option limit fight life time friend biggest concern dress wear prom imagin breast cancer rock world like person share journey pleas click link connect http bit ly nr c,1,,,,
8,,fill blank,0,,,,
9,,kid metastat breast cancer tabatha ann power stori explain realiti live metastat breast cancer mom easi refus ever give read http sgk mn eosfuh,1,,,,
10,,name felicia robinson told age would breast cancer diagnosi round chemotherapi year old daughter step caregiv would believ felicia robinson breast cancer survivor susan g komen abl help women like felicia donat fundrais fuel mission creat facebook fundrais today help creat world without breast cancer http bit ly tmum b,1,,,,
11,,move shannen doherti open emot journey fight breast cancer real raw imag noth short power http abcn ws afqkbu http abcnew go com entertain shannen doherti share touch photo cancer battl storyid,1,,,,
12,,happi birthday month januari babi leiu birthday gift year consid fundrais komen honor special day donat go long way toward find cure breast cancer creat facebook fundrais today encourag love one support fundrais campaign http bit ly tmum b https www facebook com susangkomen fundrais creat sourc nonprofit short url sourc data breferr sourc d,0,,,,
13,,breast cancer touch live women u diagnos lifetim dolli parton jordin spark rita wilson sara evan monica came togeth breastcancerawarenessmonth imagin day pink anoth color song pink avail everywher portion proceed amaz song donat komen support mission listen share friend http bit ly pinksong https blog komen org blog pink anoth color,0,,,,
14,,chanc make impact women diagnos breast cancer lifetim join us live donat manduka projectom event bryant park hear men women affect diseas,0,,,,
15,,dimpl mammogram traumat biopsi lot lost sleep later breast cancer honey go life chang journey came appoint rememb memori day blurri like rain wash windshield surgeon oncologist sick ach explain pain consum idea come somewher came covid lock tighter safeti home part comfort anoth part scream free homeschool chemo homeschool chemo taddi darsey women like taddi need help ever friend xpo logist inc quadrupl everi gift make midnight tonight give today,1,,,,
16,,name felicia robinson told age would breast cancer diagnosi round chemotherapi year old daughter step caregiv would believ felicia help us make sure peopl get life save treatment servic need covid pandem start fundrais today http bit ly tmum b https www facebook com susangkomen fundrais creat sourc nonprofit short url sourc data breferr sourc d,1,,,,
17,,want hear stori unaccept breast cancer invad continu invad mani live fill blank via comment below,0,,,,
18,,sadden tell cancer come back cancer year ago high recommend annual mammogram mammogram found small lump breast dawn oswald live metastat breast cancer read dawn stori http sgk mn hxhckj https www komen org share stori dawn oswald,1,,,,
19,,mandi diagnos breast cancer thought diseas affect older women mandi diagnos day st birthday year later progress cancer becam metastat lost mandi earli detect save live live cure metastat breast cancer cure breast cancer mandi mandi right donat made komen week direct fund metastat breast cancer research donat today text mbc encourag local lawmak pass pend legisl help mbc communiti,1,,,,
20,,havent bought card gift mom donat komen choos free person ecard send mom send today http bit ly everymom,0,,,,
21,,young still begin career regist nurs focus way better patient last thing mind think cancer quick chang march receiv news year old want hear elizabeth must find cure elizabeth hundr thousand other around world face breast cancer donat made midnight tonight doubl doubl thank generous support donat becom give gift today elizabeth,1,,,,
22,,whether live breast cancer evid diseas support someon journey want hear share piec advic someon recent diagnos drop us line comment below,0,,,,
23,,youv got mimi let send word strength fight on,1,,,,
24,,year old michell diagnos metastat breast cancer lung brain kid faith help keep head everi day read stori http sgk mn xcmk v hardest day help motiv you,1,,,,
25,,look like young old male femal differ ethnic without hair hair pain pain chemo treatment radiat surgeri much tell us breast cancer look like you,0,,,,
26,,cancer care young old kristen rangel diagnos breast cancer age comment tell us point breast cancer enter life,1,,,,
27,,worldcancerday let forget breast cancer common cancer women worldwid komen work everi day fight breast cancer countri globe togeth make differ pledg help us world cancer day,0,,,,
28,,young still begin career regist nurs focus way better patient last thing mind think cancer quick chang march th receiv news year old want hear invas breast cancer read elizabeth jone stori http sgk mn etcbey https ww komen org breast cancer stori elizabeth jone html,1,,,,
29,,diagnos stage iv breast cancer shi th birthday fear would affect futur chanc famili learn live futur live starr coleman live metastat breast cancer power stori http sgk mn vmwctr nobodi ever diagnos breast cancer especi metastat diagnosi year old wont stop metastat breast cancer doe,1,,,,
30,,yesterday michell last day chemo let celebr mileston everyday hero like michell morethanpink,1,,,,
31,,tell us drop us line comment below,0,,,,
32,,chemo treatment week radiat go breastcanc survivor melani let show love celebr ring bell,1,,,,
33,,bold goal set enhanc emphasi find new treatment aggress incur form breast cancer leverag komen expertis identifi fund best innov breast cancer research research learn research imper http sgk mn cqrhq morethanpink,0,,,,
34,,nan,0,,,,
35,,colleen mother die breast cancer fight hard year colleen diagnos instant taken back familiar state fear mission creat world woman man experi fear need help accomplish lofti goal fundrais today http bit ly tmum b https www facebook com susangkomen fundrais creat sourc nonprofit short url sourc data breferr sourc d,1,,,,
36,,today sistersday celebr promis nanci g brinker made sister suzi year ago end breast cancer power sisterhood bond today everyth end diseas whether sister famili friend want hear celebr gift sisterhood,1,,,,
37,,marci murphi diagnos aggress tripl negat breast cancer month pregnant babi girl go lumpectomi chemotherapi complic deliveri emerg c section told would never walk talk would consid miracl year later kayle amaz im consid remiss kayle fulli function year old marci incred stori http sgk mn bcyl https www komen org share stori marci murphi,1,,,,
38,,love us first let celebr mom whether biggest cheerlead live memori tell us favorit momandm moment add filter photo mom,0,,,,
39,,week half ago kid side alisha finish last chemo invit komen communiti join us celebr strength,1,,,,
40,,amaz mileston shawn let celebr end chemo her,1,,,,
41,,jason hych everymom special mean mom kathi recent pass away metastat breast cancer mom meant world susan g komen race cure day alway emot day mom day repres happi everi day live metastat breast cancer reason celebr thank join mother day movement use photo filter donat komen buy mother day gift today http sgk mn furqu,1,,,,
42,,listen love beauti song son wrote mother fight breast cancer thought mom taylor take listen move tribut share us http bit ly pvrjud https www youtub com watchv x qiifyxt,1,,,,
43,,opri goe pink today day grand ole opri pink honor famili around globe impact breast cancer bit friend rita wilson victoria shaw erin kinsey perform new breast cancer anthem pink live opri portion proceed song support mission save live enjoy show,0,,,,
44,,ami keaton year old icu nurs found small lump breast diagnos stage iii breast cancer went home day differ woman say rememb moment breast cancer first touch life,1,,,,
45,,young still begin career regist nurs focus way better patient last thing mind think cancer quick chang march th receiv news year old want hear invas breast cancer read elizabeth jone stori http sgk mn etcbey https www komen org share stori elizabeth jone,1,,,,
46,,month ident twin sister diagnos diagnos breast cancer found staci breast cancer thought worst day life hear breast cancer well even wors shes still go treatment go treatment suppos get togeth patient traci edward breast cancer survivor stori http sgk mn qqr https ww komen org breast cancer stori traci edward html,1,,,,
47,,never late celebr beauti debbi last day chemo let show love komen support communiti,1,,,,
48,,today nation nurs day wed like thank nurs work tireless make differ live patient breastcanc,0,,,,
49,,januari went annual mammogram call back mammogram sent biopsi surgeri left breast result call back offic ask sit tabl specialist sit told worst word cancer tina krout breast cancer survivor http sgk mn dt r x https ww komen org breast cancer stori tina krout html went mind heard word tell us comment,1,,,,
50,,tripl negat breast cancer battl right maintain posit spirit wonder angel fight im happi count lot peopl support emot physic mental process warrior survivor woman mother fight togeth say survivor beatriz moreno learn tripl negat breast cancer http sgk mn hhwa https www komen org breast cancer diagnosi tripl negat,1,,,,
51,,help save live today breastcanc,0,,,,
52,,want end breast cancer fill blank motivationalmonday,0,,,,
53,,beauti mother pregnant fight breast cancer time epitom strength http bit ly srnuve https nbc com news local pregnant mother battl rare form breast cancer im gonna fight beat it,1,,,,
54,,mother continu inspir work advoc survivor proud abil redirect fear diagnosi help mani other madelin long gill breast cancer survivor join mother day movement use photo filter donat komen buy mother day gift today http sgk mn furqu everymom,1,,,,
55,,catriona origin diagnos stage tripl negat invas ducal carcinoma near year later diagnos stage metastat breast cancer age determin keep fight uplift women along way read stori http bit ly jap s,1,,,,
56,,mani much fill blank tell us strong,0,,,,
57,,break news komen scholar dr barzilay colleagu use artifici intellig better predict onset breast cancer use mammogram imag model predict someon like develop breast cancer year advanc read medic advanc https bit ly vgkuix https venturebeat com mit csail ai predict onset breast cancer year advanc,0,,,,
58,,wow word mani emot captur raw beauti photo inspir your alon,1,,,,
59,,women diagnos breast cancer lifetim inspir behind give donat fight tell us https ww komen org youron,0,,,,
60,,million breast cancer survivor u inspir us motivationalmonday,0,,,,
61,,new motto hair care co creator mom denis albert share head shave moment us thank denis brave open share journey inspir mani http bit ly w ou https www goodhousekeep com health shave hair chemo,1,,,,
