Message,Narrative,Non-narrative
"As we approach Mother’s Day, we want to celebrate the moms in your life. I just updated my profile picture to show my support #4EveryMom. Update your picture with the Susan G. Komen Mother’s Day frame – it’s easy!",0,1
"Our hearts go out to Olivia Newton-John, who just announced she is fighting breast cancer for the second time. This time, the cancer metastasized to her sacrum. We’re fighting alongside you, Olivia <3",1,0
#4EveryMom http://sgk.mn/23FUrqu:=:http://ww5.komen.org/4everymom/?utm_source=Social&utm_medium=Facebook&utm_campaign=ForEveryMom,0,1
"At just 30 years old, Michelle was diagnosed with metastatic breast cancer in her lungs and brain. Michelle's faith and children help keep her head up every day. On your hardest days, what or who helps motivate you?",1,0
"""A dimple, a mammogram, a traumatic biopsy, and a lot of lost sleep later, 'You have breast cancer, honey. You’re about to go on a life-changing journey.' Then came appointments I don’t remember. My memories of those days are blurry like a rain-washed windshield. Surgeon, oncologists. So sick. An ache I can’t explain. A pain so consuming, I had no idea where it was coming from. Somewhere in there came COVID and I locked myself tighter into the safety of my home. Part of me was comforted, while another part was screaming to be free. Homeschool, chemo, homeschool, chemo.""- Taddie Darsey (Taddies Journey Through The Big “C”) Women like Taddie need our help now more than ever. Start a fundraiser for Komen today: http://bit.ly/2TMUm4b:=:https://www.facebook.com/SusanGKomen/fundraisers/?create&source=nonprofit_short_url&source_data%5Breferral_source%5D",1,0
"“I started chemotherapy on February 10, 2020…After that I will have 25 days of radiation. Reconstruction will begin six months after that. So, 2020 has not been the year I hoped it would be. My ordeal combined with the COVID-19 pandemic has been surreal. But through it all, I have had great support from my family and friends.”- Darlene Langley, breast cancer survivor. http://sgk.mn/2zSTQh5:=:https://www.komen.org/share-your-story/darlene-langley/ We love your positive attitude! Show Darlene some love in comments 👇",1,0
Shout out to all the survivors out there! What does survivorship mean to you? #SurvivorStrong,0,1
"My name is Nikia. I was diagnosed with breast cancer at 16 years old in 1994 at a time when breast cancer treatment options were limited. Not only that – I was fighting for my life at a time when all of my friends’ biggest concerns were which dress they’d wear to prom. As you can imagine, breast cancer rocked my world. I’d like to personally share more of my journey with you – will you please click this link so we can connect? 👉 http://bit.ly/38NR21C",1,0
Fill in the blank!,0,1
Four kids and metastatic breast cancer. Tabatha Ann’s powerful story explains the realities of living with metastatic breast cancer while being a mom. It’s not easy but she refuses to ever give up. Read on: http://sgk.mn/2eOSFUh,1,0
