,Message,Narrative,,,,
,Our hearts go out to Janet St. James as she works through her treatment plans for her metastatic breast cancer diagnosis. This is an ugly disease and we are fighting with you. Thank you for bravely and openly sharing your story. Let’s send her some words of encouragement during this difficult time. ❤ More about her diagnosis: http://bit.ly/2BeINvl:=:https://www.facebook.com/janet.st.james.business/videos/1134236453397278/,,,,,
,"Think about all of the strong, powerful women you know. Who in your life has been touched by breast cancer? Who are you fighting, praying and donating for? We want to hear about them. Drop us a few lines in the comments below 👇",,,,,
,"Jennifer was a healthy, fit and active 44-year-old with no family history of breast cancer when her routine mammogram picked up something that turned out to be breast cancer. ""Shock set in and fear of the unknown. Then in an instant I was whisked into a surgeon's office for a biopsy that confirmed breast cancer.""- Jennifer Slade-Hammond, breast cancer survivor. What went through your mind when you received your #unacceptable diagnosis?",,,,,
,"The harsh reality that breast cancer does not discriminate is evident yet again. Ashton Flasco, a 17-year-old, is fighting metastatic breast cancer. Though she was blindsided by her diagnosis, her positive light has overshadowed many of the negatives that come with terminal breast cancer. Keep on shining, Ashton! ❤ https://bit.ly/2GDTGLO:=:http://www.wfaa.com/article/sports/17-year-old-fights-stage-4-breast-cancer-with-infectious-laughter/287-533004874",,,,,
,"In 2000, Kelly Moncayo’s mom passed away from breast cancer. Four years later, while planning her wedding, she found a lump that would change her life yet again. Read about Kelly’s support system while fighting triple negative breast cancer: http://sgk.mn/1pvDbp3",,,,,
,This is our new direction. This is how we're taking action. This is #MoreThanPink. Join us in the movement: http://sgk.mn/2cUhlcO:=:http://ww5.komen.org/more-than-pink/?utm_source=Social&utm_medium=AffiliateSocial&utm_campaign=MoreThanPink,,,,,
,"Adiba is a wife. She is a mother. She is a daughter. She is also living with metastatic breast cancer. ""I've had a life filled with both tough challenges and great achievements. I was born a child of war in Lebanon. At the age of seven, my family and I fled to Sweden to survive and start over. Little did I know that at 27, my fight with breast cancer would begin."" http://sgk.mn/2UiNzjA Adiba's adorable son will turn one later this month! Let's shower her with words of encouragement!",,,,,
,"At age 30, a breast cancer diagnosis was the last thing on Lorraine's mind. Breast cancer has no boundaries. It's #unacceptable that currently 1 in 8 women in the U.S. will develop breast cancer in her lifetime. Who's your one? https://ww5.komen.org/yourone/",,,,,
,"As Kimberlee and Andrew were already preparing to make life’s commitment of marriage through thick and thin, she was diagnosed with breast cancer. They couldn’t think of a better time to get married than the present. So, ten days after her diagnosis, in the midst of a winter blizzard surrounded by her closest family, she married the love of her life. Read more: http://sgk.mn/2aeDe5L",,,,,
,"“I never wanted any of my peers to see me anything other than #ALICESTRONG. Don't get me wrong, I had my days but I always found the silver lining in those days."" - Alice Arney, breast cancer survivor Alice, your story empowers all of us! http://sgk.mn/1pnPeop",,,,,
,"Thanks for joining our Facebook Live! Our panelists Monisha Parker, Yolanda Murphy, and Tai Harden-Moore are excited to share their personal stories with you and discuss the intersection between health equity and advocacy. Questions are encouraged! Please drop your questions in the comments below and we’ll address them at the end of the conversation.",,,,,
,"""I was 14 years old when my father, who had a BRCA-2 mutation, passed away - a time when oxygen tanks and wheelchairs filled our home. My mother was going through her own chemo at the time; her breast cancer diagnosis, which did not have a genetic component, struck our home six months before the passing of my dad."" - Brittany Collins, co-survivor. Give in honor of Brittany's parents. Your dollars will be doubled up to $1.5 million, thanks to a matching gift from Odonate: BeMoreThanPink.org #GivingTuesday",,,,,
